category,link to the article
https://www.alexa.com/covid-19/exercise-at-home,http://www.nintendolife.com/news/2020/03/ring_fit_adventure_is_so_popular_it_keeps_selling_out
https://www.alexa.com/covid-19/exercise-at-home,https://www.gqindia.com/look-good/content/exclusive-hrithik-roshan-home-workout-routine-following-self-quarantining
https://www.alexa.com/covid-19/exercise-at-home,https://www.doctoroz.com/article/5-free-indoor-exercises-will-help-you-get-out-your-head
https://www.alexa.com/covid-19/exercise-at-home,https://lifeshack.io/your-lack-of-gym-time-during-lockdown-is-not-as-detrimental-as-you-think/
https://www.alexa.com/covid-19/exercise-at-home,https://sadisticcoach.co.uk/
https://www.alexa.com/covid-19/social-distancing,https://www.independent.co.uk/news/world/americas/us-politics/trump-republican-national-convention-north-carolina-coronavirus-masks-social-distancing-roy-cooper-a9540051.html
https://www.alexa.com/covid-19/social-distancing,https://www.gov.uk/government/publications/staying-alert-and-safe-social-distancing/staying-alert-and-safe-social-distancing
https://www.alexa.com/covid-19/social-distancing,https://www.gov.uk/government/publications/covid-19-guidance-on-social-distancing-and-for-vulnerable-people/guidance-on-social-distancing-for-everyone-in-the-uk-and-protecting-older-people-and-vulnerable-adults
https://www.alexa.com/covid-19/social-distancing,https://www.fox13news.com/news/tampa-megachurch-crowded-with-worshipers-despite-social-distancing-orders
https://www.alexa.com/covid-19/social-distancing,https://massivesci.com/articles/vampire-bats-socializing-food-sharing-grooming/
https://www.alexa.com/covid-19/social-distancing,https://www.politico.com/news/magazine/2020/06/04/public-health-protests-301534
https://www.alexa.com/covid-19/social-distancing,https://www.washingtonpost.com/opinions/2020/03/24/its-time-socially-distance-real-journalism-trump/
https://www.alexa.com/covid-19/social-distancing,https://thenextweb.com/neural/2020/04/16/mits-ai-predicts-catastrophe-if-social-distancing-restrictions-relax-too-soon/
https://www.alexa.com/covid-19/social-distancing,https://medium.com/@ariadnelabs/social-distancing-this-is-not-a-snow-day-ac21d7fa78b4
https://www.alexa.com/covid-19/social-distancing,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/
https://www.alexa.com/covid-19/flatten-the-curve,https://time.com/5809038/coronavirus-flatten-curve/
https://www.alexa.com/covid-19/flatten-the-curve,https://www.washingtonpost.com/world/asia_pacific/new-zealand-isnt-just-flattening-the-curve-its-squashing-it/2020/04/07/6cab3a4a-7822-11ea-a311-adb1344719a9_story.html
https://www.alexa.com/covid-19/flatten-the-curve,https://www.nytimes.com/2020/03/23/world/asia/coronavirus-south-korea-flatten-curve.html
https://www.alexa.com/covid-19/flatten-the-curve,https://www.flattenthecurve.com/
https://www.alexa.com/covid-19/flatten-the-curve,https://www.washingtonpost.com/graphics/2020/world/corona-simulator/
https://www.alexa.com/covid-19/flatten-the-curve,https://www.jsonline.com/story/news/politics/elections/2020/04/08/coronavirus-wisconsin-election-likely-hurt-effort-flatten-curve/2961718001/
https://www.alexa.com/covid-19/flatten-the-curve,https://www.theatlantic.com/politics/archive/2020/04/coronavirus-san-francisco-london-breed/609808/
https://www.alexa.com/covid-19/flatten-the-curve,https://www.foxnews.com/media/desantis-florida-covid-flattening-curve
https://www.alexa.com/covid-19/flatten-the-curve,https://www.nationalgeographic.com/history/2020/03/how-cities-flattened-curve-1918-spanish-flu-pandemic-coronavirus/
https://www.alexa.com/covid-19/flatten-the-curve,https://talkingpointsmemo.com/news/fauci-false-statement-coronavirus-outbreak-under-control
https://www.alexa.com/covid-19/face-masks,https://www.washingtonpost.com/nation/2020/05/28/masks-not-allowed-coronavirus/#click=https://t.co/xgk30r1ylK
https://www.alexa.com/covid-19/face-masks,https://thehill.com/homenews/administration/495079-pence-flouts-mayo-clinic-policy-by-not-wearing-face-covering
https://www.alexa.com/covid-19/face-masks,https://www.gov.uk/government/publications/how-to-wear-and-make-a-cloth-face-covering/how-to-wear-and-make-a-cloth-face-covering
https://www.alexa.com/covid-19/face-masks,https://www.bostonglobe.com/2020/03/19/opinion/guidance-against-wearing-masks-coronavirus-is-wrong-you-should-cover-your-face/
https://www.alexa.com/covid-19/face-masks,https://www.bbc.co.uk/news/health-51205344
https://www.alexa.com/covid-19/face-masks,https://www.cnn.com/2020/05/26/politics/joe-biden-cnn-interview-trump-face-masks/index.html
https://www.alexa.com/covid-19/face-masks,https://www.bbc.co.uk/news/uk-52927089?at_custom4=3DCC1C00-A67E-11EA-B31D-80DB39982C1E&at_medium=custom7&at_campaign=64&at_custom2=twitter&at_custom3=%40BBCBreaking&at_custom1=%5Bpost+type%5D
https://www.alexa.com/covid-19/face-masks,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks/about-non-medical-masks-face-coverings.html#_How_to_protect
https://www.alexa.com/covid-19/face-masks,https://thehill.com/homenews/administration/490308-cdc-may-urge-americans-to-cover-faces-in-public-report#.XoND-3ZH-Uc.twitter
https://www.alexa.com/covid-19/face-masks,https://medium.com/@adrien.burch/whats-the-evidence-on-face-masks-5f3c27a18cc
https://www.alexa.com/covid-19/stay-home,https://www.gov.uk/government/publications/staying-alert-and-safe-social-distancing/staying-alert-and-safe-social-distancing
https://www.alexa.com/covid-19/stay-home,https://www.thewrap.com/facebook-will-remove-posts-coronavirus-stay-at-home/
https://www.alexa.com/covid-19/stay-home,https://www.gov.uk/government/publications/covid-19-guidance-on-social-distancing-and-for-vulnerable-people/guidance-on-social-distancing-for-everyone-in-the-uk-and-protecting-older-people-and-vulnerable-adults
https://www.alexa.com/covid-19/stay-home,https://www.fox13news.com/news/tampa-megachurch-crowded-with-worshipers-despite-social-distancing-orders
https://www.alexa.com/covid-19/stay-home,https://www.politico.com/news/magazine/2020/06/04/public-health-protests-301534
https://www.alexa.com/covid-19/stay-home,https://ktla.com/news/local-news/demonstrators-gather-in-huntington-beach-to-protest-states-stay-at-home-order-and-defying-social-distancing-rules/
https://www.alexa.com/covid-19/stay-home,https://covid19.ca.gov/stay-home-except-for-essential-needs/
https://www.alexa.com/covid-19/stay-home,https://medium.com/@ariadnelabs/social-distancing-this-is-not-a-snow-day-ac21d7fa78b4
https://www.alexa.com/covid-19/stay-home,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/
https://www.alexa.com/covid-19/stay-home,https://globalnews.ca/news/6716919/trudeau-canada-update-coronavirus-march-23/
https://www.alexa.com/covid-19/treatment,https://www.who.int/health-topics/coronavirus#tab=tab_3
https://www.alexa.com/covid-19/treatment,https://www.reuters.com/live-events/coronavirus-6-id2921484
https://www.alexa.com/covid-19/treatment,https://www.independent.co.uk/news/world/americas/us-politics/trump-coronavirus-inject-disinfectant-bleach-treatment-sunlight-a9481291.html
https://www.alexa.com/covid-19/treatment,https://www.nhsinform.scot/coronavirus
https://www.alexa.com/covid-19/treatment,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/events-as-they-happen#.Xl5oiXqDjtw.twitter
